"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Aaron Rodgers","QB","NYJ","9.6","28.6","10.5","28.9","18.2","26","24.3","24.8","-","36.6","28.8","19.8","24.9","27.9","6.1","14.7","24.4","22.1","354.1"
"2","Andrew Luck","QB","FA","26.7","18.9","32.3","29.6","20.7","24.6","20.3","26.6","30.7","-","19.6","15","32.8","23.5","15.3","0.4","14.9","22","351.7"
"3","Russell Wilson","QB","PIT","18.5","17.9","22","-","34.2","10.2","37.1","13.5","10.3","19.6","22.2","19.7","16.9","29.3","11.4","36.4","8.3","20.5","327.6"
"4","Peyton Manning","QB","FA","22.5","21.6","20","-","31","21.5","28.6","23.4","21.8","29.6","15.5","28.1","12.6","2.7","13","12.4","8.4","19.5","312.7"
"5","Ben Roethlisberger","QB","FA","17.4","6.7","15.9","22.4","12.7","11.8","16.9","44.8","35.7","13.7","10.5","-","26.2","27.9","14.2","12.4","17","19.1","306.2"
"6","Drew Brees","QB","FA","15.5","15.8","19.5","20.2","16.7","-","21","25","18.1","18.4","14.5","28.3","30.3","12","27.2","11.3","9.1","18.9","303"
"7","Matt Ryan","QB","FA","31.4","10","23.6","20.1","14.6","12.7","11.8","15.7","-","15.7","15.1","15.5","20.8","31.3","21.1","17.6","7","17.8","284.3"
"8","Ryan Tannehill","QB","TEN","12.9","12.7","13.1","20.6","-","18.7","23.9","14.6","28.2","10.3","16.8","26.6","8.7","13.7","15.9","29.3","12.4","17.4","278.5"
"9","Tom Brady","QB","FA","10.3","10","12.7","4.4","21","30.7","22.4","34.2","27.7","-","14.1","20","17.7","19.4","19.3","10.3","4.1","17.4","278.1"
"10","Eli Manning","QB","FA","6.5","15.6","17.3","32.1","15.7","6.3","23","-","22.2","11.3","5.2","23.5","9.9","12.4","22","27.3","19.2","16.8","269.5"
"11","Tony Romo","QB","FA","9.2","11","16.1","24.5","19","15.9","21.7","12.5","-","21.8","-","24.8","3.9","20","20.5","27.5","18","17.8","266.3"
"12","Philip Rivers","QB","FA","12.5","25.1","19.1","27.1","21.8","25.8","14.2","19.8","-2.2","-","11.6","13.5","27.2","10.4","9.6","24.2","5.8","16.6","265.6"
"13","Joe Flacco","QB","IND","16.5","14.9","11.3","25.4","7.4","32.2","14.7","5","18.3","10.6","-","13.9","23.3","24.4","13.6","10.3","20.6","16.4","262.4"
"14","Jay Cutler","QB","FA","18","25.5","16.4","17.1","21.8","21.6","7.9","21.7","-","8.9","23.3","7.2","15.1","26.5","13.8","-","10.8","17","255.6"
"15","Matthew Stafford","QB","LAR","30","14.4","4.6","26.5","12","11.5","16.1","19.9","-","17.1","5.3","10.4","21.6","24.2","10.3","5.9","21.6","15.7","251.6"
"16","Colin Kaepernick","QB","FA","17.1","12.3","19.2","20.5","13.8","29.4","14.3","-","10.9","12.8","14.1","13.6","2.5","9.6","10.2","27.7","22.5","15.7","250.7"
"17","Cam Newton","QB","FA","-","19.1","12.7","12.6","15.1","34.1","14.3","5.2","12.3","12.8","18.7","-","14.7","35.3","-","22.3","19.7","17.8","249"
"18","Andy Dalton","QB","CAR","18.3","14.7","12.9","-","17.8","19.4","5","20","14.4","-1.8","22","11.9","11.7","26.3","3","14.3","14.6","14","224.6"
"19","Alex Smith","QB","FA","9.7","14.4","19.1","22.7","8.9","-","15.7","11.3","16","15.6","4.2","17.9","12.7","16.3","21.6","13.8","-","14.7","220"
"20","Derek Carr","QB","NO","13.9","16.3","5","8.7","-","25.5","7.1","15.3","12.7","11.7","4.9","11.2","3","22.4","10.9","16.6","6.9","12","192"
"21","Ryan Fitzpatrick","QB","FA","13.2","13.6","19","12.1","4.5","11","18.1","14.3","19","-","-","-","39.3","12.9","2.8","-","-","15","179.7"
"22","Teddy Bridgewater","QB","FA","-","-","8.7","23.4","-","2.6","7","13.9","16.7","-","8.5","19.6","14.7","19.1","15.6","17.7","12.2","13.8","179.7"
"23","Kyle Orton","QB","FA","-","-","-","-","14.3","18","15.2","26.1","-","14.7","7.9","18.2","7.6","20.3","3.9","21.2","8.7","14.7","176.1"
"24","Blake Bortles","QB","FA","-","-","15.9","12.6","5","19.2","8.1","11.6","16.9","11.9","-","6.2","18.6","11.2","6.6","13.6","10.8","12","168.2"
"25","Brian Hoyer","QB","FA","12.7","12.2","15.4","-","21.8","12.7","4.5","15.1","16.5","8","15.3","8.1","3.7","1.7","-","9.3","-","11.2","156.9"
"26","Geno Smith","QB","SEA","12.6","17.6","14.6","8.8","-0.6","14.7","16.7","-5.8","-","-","-","4","2.5","15.5","12.8","11.3","26.1","10.8","150.8"
"27","Mark Sanchez","QB","FA","-","-","-","-","-","-","-","-","12.6","21.2","13.8","12.7","21.5","10.5","6.1","21.2","19.9","15.5","139.4"
"28","Josh McCown","QB","FA","14","17.8","0.3","-","-","-","-","-","-","19.9","20.3","12.8","5.6","12.8","12.3","3.9","7.2","11.5","126.9"
"29","Nick Foles","QB","FA","14.9","17.4","26.2","3.9","13.6","14.4","-","21.8","7.1","-","-","-","-","-","-","-","-","14.9","119.3"
"30","Austin Davis","QB","FA","5.7","9.4","21","-","26","11.3","14","8.5","5.1","6.6","-","-","0","-","-","-","-","10.8","107.6"
"31","Carson Palmer","QB","FA","21.1","-","-","-","-","17.7","16.1","21.2","19.8","7.7","-","-","-","-","-","-","-","17.3","103.5"
"32","Drew Stanton","QB","FA","-","6.5","19.4","-","4.7","-","-","-","-","7.7","15.8","6.3","12.5","17.3","4.7","-","-","10.5","94.7"
"33","Mike Glennon","QB","FA","-","-","10.7","18.1","16","18.6","-","10.1","16.1","-","-","-","-","-","-","-","-","14.9","89.6"
"34","Shaun Hill","QB","FA","1.1","-","-","-","-","-","-","-","0","-","12.8","5.9","21.4","16.4","8.3","17.6","5.7","9.9","89.3"
"35","Kirk Cousins","QB","ATL","-","17.9","27.6","5.5","19.7","16.2","1.6","-","BYE","-","-","-","-","-","-","-","-","14.7","88.4"
"36","Robert Griffin III","QB","FA","8.9","3.7","-","-","-","-","-","-","14.4","-","12.4","3.3","-","1.3","16","7.9","19.3","9.7","87.4"
"37","Charlie Whitehurst","QB","FA","-","-","-","13.1","15.7","9.4","13.4","-","-","-","-","-","-","-","10","16.7","8.8","12.4","87"
"38","Zach Mettenberger","QB","FA","-","-","-","-1.3","-","-","-","15.9","-","9.2","16.5","19.6","10.2","0.9","-","-","-","10.1","70.9"
"39","Jake Locker","QB","FA","20","10.3","8.4","-","16.6","-","-","-","-","-","-","-","1.6","4","3","-","-","9.1","63.9"
"40","Colt McCoy","QB","FA","-","-","-","-","-","-","9.4","17.6","-","-","-","-","26.9","5.1","4","-","-","12.6","62.9"
"41","E.J. Manuel","QB","FA","16.8","12.7","15.9","13.3","-","-","-","-","-","-","-","0","-","-","-","-","-","11.7","58.7"
"42","Derek Anderson","QB","FA","18.2","-","7.2","2.8","-","-","5.7","-","-","-","-","-","-","0","16.5","-","-","8.4","50.4"
"43","Michael Vick","QB","FA","0","0","0.3","-","3.3","-","0.6","7","13.6","17.2","-","1.4","-","-","-","-","0","4.3","43.5"
"44","Chad Henne","QB","FA","17.4","11.4","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.1","30.2"
"45","Case Keenum","QB","HOU","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","7.3","15.6","11.5","22.9"
"46","Matt Cassel","QB","FA","14.5","5.7","2.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.6","22.8"
"47","Ryan Lindley","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","6.6","14.6","7.5","22.5"
