Player,Pos,Team,1,week_1_opp,2,week_2_opp,3,week_3_opp,4,week_4_opp,5,week_5_opp,6,week_6_opp,7,week_7_opp,8,week_8_opp,9,week_9_opp,10,week_10_opp,11,week_11_opp,12,week_12_opp,13,week_13_opp,14,week_14_opp,15,week_15_opp,16,week_16_opp,17,week_17_opp,2020AVG,2020TTL,18,week_18_opp,19,week_19_opp,20,week_20_opp,21,week_21_opp,22,week_22_opp,23,week_23_opp,24,week_24_opp,25,week_25_opp,26,week_26_opp,27,week_27_opp,28,week_28_opp,29,week_29_opp,30,week_30_opp,31,week_31_opp,32,week_32_opp,33,week_33_opp,34,week_34_opp,35,week_35_opp,2021AVG,2021TTL,36,week_36_opp,37,week_37_opp,38,week_38_opp,39,week_39_opp,40,week_40_opp,41,week_41_opp,42,week_42_opp,43,week_43_opp,44,week_44_opp,45,week_45_opp,46,week_46_opp,47,week_47_opp,48,week_48_opp,49,week_49_opp,50,week_50_opp,51,week_51_opp,52,week_52_opp,53,week_53_opp,2022AVG,2022TTL,54,week_54_opp,55,week_55_opp,56,week_56_opp,57,week_57_opp,58,week_58_opp,59,week_59_opp,60,week_60_opp,61,week_61_opp,62,week_62_opp,63,week_63_opp,64,week_64_opp,65,week_65_opp,66,week_66_opp,67,week_67_opp,68,week_68_opp,69,week_69_opp,70,week_70_opp,71,week_71_opp,2023AVG,2023TTL,week_72_opp
AJ McCarron,QB,FA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.8,,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.8,,0.4,0.8,
Aaron Rodgers,QB,NYJ,30.8,MIN,18.2,LAR,24.5,TB,29.6,ATL,,,5.8,TB,27.3,HOU,22.5,MIN,28.9,SF,26.4,JAX,22.7,IND,25.6,CHI,23.5,PHI,30.9,DET,18.3,CAR,26.1,TEN,26,CHI,24.2,387.3,3.3,,26.8,NO,18.0,SF,24.1,SF,20.8,PIT,23.7,CIN,24.7,CHI,15.7,WSH,,ARI,11.5,,33.5,SEA,26.3,MIN,,LAR,29.6,,23.8,CHI,20.0,BAL,20.3,CLE,14.2,MIN,21.0,336.3,4.7,DET,16.4,MIN,17.1,CHI,17.1,TB,16.9,NE,11.8,NYG,15.8,NYJ,16.2,WSH,16.6,BUF,19.4,DET,19.1,DAL,11.5,TEN,13.7,PHI,,CHI,11.9,,14.3,LAR,16.6,MIA,12.2,MIN,14.8,251.2,0.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Aidan O'Connell,QB,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,LAC,,,6.0,,,,8.4,,9.4,NYG,12.1,NYJ,13.9,MIA,,KC,6.0,,25.9,MIN,2.1,LAC,20.3,KC,17.9,IND,12.1,132.8,DEN
Alex Smith,QB,FA,,,,,,,,,1.6,LAR,,,,,,,14.0,NYG,16.0,DET,9.3,CIN,9.1,DAL,15.8,PIT,1.3,SF,,,,,12.5,PHI,9.9,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Dalton,QB,CAR,,,0.0,,,,,,2.4,,13.0,ARI,3.6,WSH,,,,,,,19.3,MIN,13.3,WSH,18.6,BAL,15.3,CIN,17.2,SF,27.6,PHI,13.6,NYG,13.1,143.9,6.5,,8.7,LAR,,,,,0.3,,,,,,,,,,,,16.0,,16.8,BAL,15.8,DET,,ARI,,,,,11.3,,17.7,NYG,11.7,93.2,,MIN,,,,,13.7,,10.9,MIN,10.5,SEA,29.5,CIN,17.2,ARI,11.9,LV,9.1,BAL,22.2,PIT,10.3,LAR,13.3,SF,,TB,14.1,,2.6,ATL,7.0,,11.0,PHI,13.1,183.2,,CAR,,,23.5,,,SEA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,23.6,
Anthony Brown Jr.,QB,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,7.4,,3.8,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Richardson,QB,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,17.7,JAX,,,29.6,,4.4,LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,73.7,
Bailey Zappe,QB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,11.0,GB,17.4,DET,7.3,CLE,,CHI,,,,,,,,,,,,,,,,,,,,,10.4,41.6,,,,,,,2.3,,0.9,,,,,,,,,,0.0,,,,1.2,,7.2,,21.9,LAC,10.4,PIT,16.4,KC,15.1,DEN,2.8,BUF,7.8,78.2,NYJ
Baker Mayfield,QB,TB,10.9,PIT,16.3,KC,14.3,WSH,15.2,DAL,17.6,IND,7.3,PIT,30.8,CIN,7.8,LV,,,5.4,HOU,7.1,PHI,18.4,JAX,28.5,TEN,31.0,BAL,21.0,NYG,8.0,NYJ,16.2,PIT,16.0,255.6,13.6,,18.5,KC,16.9,HOU,9.3,CHI,23.0,MIN,13.2,LAC,,ARI,9.5,,16.7,PIT,5.9,CIN,9.9,NE,12.3,DET,,BAL,16.0,,,BAL,14.0,,15.0,GB,,PIT,13.9,193.9,19.0,,13.3,CLE,10.7,NYG,7.9,NO,7.6,ARI,,SF,,,,,14.2,,,CIN,7.0,,,BAL,,,14.2,,7.5,LV,17.4,GB,4.1,DEN,6.5,LAC,10.8,129.4,16.0,SEA,18.4,MIN,11.0,CHI,23.9,PHI,,NO,7.8,,17.2,DET,21.4,ATL,19.0,BUF,19.3,HOU,11.3,TEN,14.4,SF,10.9,IND,20.1,CAR,29.0,ATL,19.8,GB,18.3,JAX,6.2,NO,16.7,284.1,CAR
