Lamar Jackson,CLE,HOU,KC,WSH,CIN,PHI,#CALC!,PIT,IND,NE,TEN,#CALC!,DAL,CLE,JAX,NYG,CIN,LV,KC,DET,DEN,IND,LAC,CIN,#CALC!,MIN,MIA,#CALC!,CLE,PIT,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,NYJ,MIA,NE,BUF,CIN,NYG,CLE,TB,NO,#CALC!,CAR,JAX,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,HOU,CIN,IND,CLE,PIT,TEN,DET,ARI,SEA,CLE,CIN,LAC,#CALC!,LAR,JAX,SF,MIA,#CALC!
Aaron Rodgers,MIN,DET,NO,ATL,#CALC!,TB,HOU,MIN,SF,JAX,IND,CHI,PHI,DET,CAR,TEN,CHI,NO,DET,SF,PIT,CIN,CHI,WSH,ARI,#CALC!,SEA,MIN,LAR,#CALC!,CHI,BAL,CLE,MIN,DET,MIN,CHI,TB,NE,NYG,NYJ,WSH,BUF,DET,DAL,TEN,PHI,CHI,#CALC!,LAR,MIA,MIN,DET,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Russell Wilson,ATL,NE,DAL,MIA,MIN,#CALC!,ARI,SF,BUF,LAR,ARI,PHI,NYG,NYJ,WSH,LAR,SF,IND,TEN,MIN,SF,LAR,#CALC!,#CALC!,#CALC!,#CALC!,GB,ARI,WSH,SF,HOU,LAR,CHI,DET,ARI,SEA,HOU,SF,LV,IND,LAC,#CALC!,JAX,#CALC!,TEN,LV,CAR,BAL,KC,#CALC!,LAR,KC,LAC,LV,WSH,MIA,CHI,NYJ,KC,GB,KC,#CALC!,BUF,MIN,CLE,HOU,LAC,DET,NE,#CALC!,#CALC!
Patrick Mahomes,HOU,LAC,BAL,NE,LV,BUF,DEN,NYJ,CAR,#CALC!,LV,TB,DEN,MIA,NO,ATL,#CALC!,CLE,BAL,LAC,PHI,BUF,WSH,TEN,NYG,GB,LV,DAL,#CALC!,DEN,LV,LAC,PIT,CIN,DEN,ARI,LAC,IND,TB,LV,BUF,SF,#CALC!,TEN,JAX,LAC,LAR,CIN,DEN,HOU,SEA,DEN,LV,DET,JAX,CHI,NYJ,MIN,DEN,LAC,DEN,MIA,#CALC!,PHI,LV,GB,BUF,NE,LV,CIN,#CALC!
Kyler Murray,SF,WSH,DET,CAR,NYJ,DAL,SEA,#CALC!,MIA,BUF,SEA,NE,LAR,NYG,PHI,SF,#CALC!,TEN,MIN,JAX,LAR,SF,CLE,HOU,GB,#CALC!,#CALC!,#CALC!,#CALC!,CHI,LAR,DET,IND,DAL,SEA,KC,LV,LAR,CAR,PHI,SEA,NO,MIN,SEA,#CALC!,#CALC!,LAC,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,ATL,HOU,LAR,PIT,#CALC!,SF,CHI,PHI,SEA
Cam Newton,MIA,SEA,LV,#CALC!,#CALC!,DEN,SF,BUF,NYJ,BAL,HOU,ARI,LAC,LAR,MIA,#CALC!,NYJ,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,WSH,MIA,#CALC!,ATL,BUF,TB,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Dak Prescott,LAR,ATL,SEA,CLE,NYG,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,TB,LAC,PHI,CAR,NYG,NE,#CALC!,#CALC!,DEN,ATL,KC,LV,NO,WSH,NYG,WSH,ARI,PHI,TB,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,DET,CHI,#CALC!,GB,MIN,NYG,IND,HOU,JAX,PHI,TEN,WSH,NYG,NYJ,ARI,NE,SF,LAC,#CALC!,LAR,PHI,NYG,CAR,WSH,SEA,PHI,BUF,MIA,DET,WSH
Gardner Minshew,IND,TEN,MIA,CIN,HOU,DET,LAC,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,TEN,BAL,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,NYJ,#CALC!,#CALC!,#CALC!,#CALC!,DAL,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,DAL,NO,#CALC!,#CALC!,HOU,BAL,#CALC!,#CALC!,JAX,CLE,NO,CAR,NE,#CALC!,TB,TEN,CIN,PIT,ATL,LV,HOU
Ryan Tannehill,DEN,JAX,MIN,#CALC!,BUF,HOU,PIT,CIN,CHI,IND,BAL,IND,CLE,JAX,DET,GB,HOU,ARI,SEA,IND,NYJ,JAX,BUF,KC,IND,LAR,NO,HOU,NE,#CALC!,JAX,PIT,SF,MIA,HOU,NYG,BUF,LV,IND,WSH,#CALC!,IND,#CALC!,#CALC!,DEN,GB,CIN,PHI,JAX,LAC,#CALC!,#CALC!,#CALC!,NO,LAC,CLE,CIN,IND,BAL,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,SEA,HOU,JAX
Drew Brees,TB,LV,GB,DET,LAC,#CALC!,CAR,CHI,TB,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,KC,MIN,CAR,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
Teddy Bridgewater,LV,TB,LAC,ARI,ATL,CHI,NO,ATL,KC,TB,#CALC!,MIN,#CALC!,DEN,GB,WSH,NO,NYG,JAX,NYJ,BAL,PIT,LV,CLE,WSH,DAL,PHI,#CALC!,LAC,KC,DET,CIN,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,CIN,#CALC!,MIN,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,NE,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!,#CALC!
