Josh Allen,28.2,34.5,32.2,25.4,18.3,16.1,16.4,13.5,36,28.4,BYE,16.5,30.1,19.3,37.7,32.3,20.3,17.2,17.7,37.2,21,36.5,29.7,BYE,29.5,11.6,21.9,18.2,28.7,11.7,36.2,21.8,31,23.9,23.9,33.5,29.7,26.7,24.5,36.2,26.4,BYE,19.6,26.8,21.6,12.6,30.9,16.9,20.6,35.9,25,2.7,22.8,12,23.7,22.3,36.5,28.8,14.9,25.3,30.1,25.7,16.4,23.5,40.7,BYE,21.5,16.2,26,22.2,25.1
Kyler Murray,27.3,33.1,24.7,23.1,27.3,28.9,38.1,BYE,37.9,30.9,20.3,8.9,17.4,18.5,34.1,16.4,3.8,34.6,35.1,19.5,22.6,13.7,25.8,22.4,11.1,-,-,-,BYE,30.8,19.4,13.6,21.9,22.9,17.1,20.6,26.9,13.4,23.9,17.2,15.9,17.2,26.6,19,-,-,26.2,BYE,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,18.3,22.7,20.4,11.8,BYE,15.3,20.4,24.7,17.8
Aaron Rodgers,30.8,18.2,24.5,29.6,-,5.8,27.3,22.5,28.9,26.4,22.7,25.6,23.5,30.9,18.3,26.1,26,3.3,26.8,18,24.1,20.8,23.7,24.7,15.7,-,11.5,33.5,26.3,-,29.6,23.8,20,20.3,14.2,4.7,16.4,17.1,17.1,16.9,11.8,15.8,16.2,16.6,19.4,19.1,11.5,13.7,-,11.9,14.3,16.6,12.2,0,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-
Patrick Mahomes II,20.4,27.5,40,20.2,30.7,20.6,12,36.6,31.5,BYE,22.5,31.3,19.3,21.6,25.9,20.2,-,33.3,25,24.9,32.3,21,25,8.7,15,10.4,36.2,8.5,BYE,13.6,20.3,30.6,22.3,20.9,26.2,34.9,17.3,18.1,24.4,30.5,21.6,27.9,BYE,35.1,32.1,27.5,19.4,19.8,22.8,32.7,23.8,25.5,15,20.5,22.2,25.7,15.2,19.2,18.3,34.9,7.6,15.8,BYE,17.9,20.8,14,14.6,17.7,17.7,12,-
Deshaun Watson,21.8,15.7,18.1,20.9,26.9,32,24.2,-,24.2,14.1,31.4,33.1,20.4,16.6,23.4,26.8,26.8,#CALC!,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,BYE,-,-,-,6.3,17.3,12.6,12.8,21.9,19.6,21.7,12.6,21.2,-,BYE,-,-0.8,-,19,17.2,-,-,-,-,-,-,-,-
Russell Wilson,31.8,34.4,36.8,21.9,25.5,-,32.9,28.7,24.1,11.9,20.1,14.4,16,23.1,13,19.9,18.1,27.1,23.3,16.6,22.6,10.1,-,BYE,-,-,7.6,8.5,19.5,17.7,21.2,5.2,16.5,27.8,25,17.8,12.1,9.1,26.5,11.2,13.8,-,14.8,BYE,15.2,10.7,8.5,9.7,26.6,-,11.3,24.6,24.1,15.2,26.9,15.2,22.2,18.7,8.9,13.9,17.6,-,18.7,14.5,16.8,18.8,16.5,17.5,23.5,-,-
Ryan Tannehill,19.4,26.8,12.7,BYE,30,29.6,17.3,18.3,14.6,10.8,22.9,19.1,28.6,16.5,37,18.3,28.4,15.2,14.6,23.5,18.8,14,13.9,20.4,23.2,15,18.6,13.2,9.1,BYE,16.5,10.9,14.6,13.5,27.3,19.3,2.9,19.8,14.4,11.5,BYE,3.9,-,-,19.4,20,12.5,13,18.8,11.7,-,-,-,5.4,21,4.2,13.7,10.8,2,BYE,-,-,-,-,-,-,-,-,9.8,6.7,13.4
Tom Brady,22.5,9.7,23.9,33.5,14.1,14.6,36.9,19.1,5.4,31.8,14.6,23.7,-,15.6,23.4,29.9,31.3,29.2,29.6,28.7,11.1,37.7,19,24.4,27.2,-,15,20.3,12.2,29.6,30.1,5.8,14.4,27.4,25,11.4,9.4,14.7,25.4,19.7,13.7,11.7,17.1,15.2,17,-,18,18.1,12.1,18.6,13.3,37.7,7.4,#CALC!,,,,,,,,,,,,,,,,,
Justin Herbert,-,23.2,15.7,24,27.4,BYE,38.5,23.2,23.4,21.5,27.7,17.4,6.4,16.7,28,16.7,33,14.4,16.7,30.8,21.3,42.8,12,BYE,15.8,31.6,13,35.3,21.7,26.3,24.9,24,18.9,17.7,28.4,23.3,24.5,13.6,21.1,14.4,9.4,18.1,BYE,13.1,13,19.7,28.8,18.1,19.5,10.7,6.5,16.7,18.8,20.9,22.2,29.3,24.4,BYE,19.1,12.9,24,7.1,29.4,25.7,14.4,8,2.8,-,-,-,-
Lamar Jackson,27.5,17.6,14.2,26,14.5,28.2,BYE,16.8,18.6,22.5,17.5,-,26.7,34.9,30.2,21.3,25.2,18,34.3,20.3,19.4,41.9,13.8,23.1,BYE,32.6,16.4,-,13.4,18.6,1.2,-,-,-,-,21.2,42.6,40.4,15.1,15.8,17.1,10.7,21.8,17.5,BYE,16.5,23.1,1.3,-,-,-,-,-,7.6,22.9,28.2,28.1,10.9,18.1,33.9,12,11.5,15,24,15,BYE,32.6,19.5,22.6,36.3,-
